,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore
409,2021,9864,400000,64.0,2,2.875,400000,23.64,25.7,4,5
410,2021,12500,400000,72.0,2,3.125,400000,19.63,29.19,4,4
431,2021,11833,369255,74.0,2,2.875,370000,16.94,21.69,5,5
437,2021,16194,358633,50.0,2,2.875,360000,12.81,16.71,5,5
448,2021,8968,530000,77.0,2,3.0,530000,33.65,39.7,5,4
463,2021,22311,460000,80.0,2,2.5,460000,11.65,12.73,5,5
468,2021,11926,468000,70.0,2,2.875,468000,24.87,34.12,4,4
474,2021,11167,410000,64.0,2,2.875,410000,22.14,38.71,4,4
476,2021,24020,510352,72.0,2,3.0,513000,12.54,19.92,5,5
480,2021,14862,450000,73.0,2,3.0,450000,17.27,22.38,5,5
481,2021,19100,460000,73.0,2,3.0,460000,14.82,27.04,4,4
482,2021,12560,366000,72.0,2,3.0,366000,14.1,23.52,5,5
484,2021,15833,465000,55.0,2,2.875,465000,26.75,30.62,5,5
485,2021,17341,466000,65.0,2,3.0,466000,15.98,19.43,4,4
491,2021,14599,400000,73.0,2,3.125,400000,17.23,28.52,5,5
499,2021,24955,467200,80.0,2,2.75,467200,10.55,22.97,5,5
516,2021,9967,479176,66.0,2,3.0,480000,28.49,29.65,5,5
530,2021,14583,530000,74.0,2,2.875,530000,21.82,23.61,5,5
548,2021,21571,466500,75.0,2,3.0,466500,12.74,44.75,3,4
553,2021,13952,400000,39.0,2,3.0,400000,18.27,37.46,5,4
558,2021,15898,490000,45.0,2,3.0,490000,19.77,35.2,5,5
559,2021,18142,417000,65.0,2,3.0,417000,16.05,25.01,5,5
569,2021,10048,515200,80.0,2,2.875,515200,28.31,32.51,5,5
576,2021,29955,427000,72.0,2,2.875,427000,8.81,11.47,5,5
583,2021,22207,416000,80.0,2,2.875,416000,10.45,32.58,4,4
584,2021,13666,425000,84.0,2,2.875,428000,18.58,23.98,5,5
591,2021,16921,359300,68.0,2,2.625,359300,11.73,16.27,5,5
596,2021,14717,455000,52.0,2,2.875,455000,21.46,35.53,5,5
603,2021,18612,548250,68.0,2,2.875,548250,17.33,27.92,5,5
612,2021,18839,462000,77.0,2,3.0,462000,14.06,14.14,5,5
621,2021,17447,510000,64.0,2,3.125,510000,23.58,39.09,4,4
628,2021,16554,440000,80.0,2,3.5,440000,16.44,30.74,4,4
632,2021,14228,445000,74.0,2,3.0,445000,18.31,23.62,4,4
635,2021,13333,324359,56.0,2,3.0,325000,15.89,32.27,5,5
636,2021,15917,536000,80.0,2,2.75,536000,17.89,32.03,4,5
656,2021,15331,430000,26.0,2,2.625,430000,29.82,31.16,5,4
660,2021,12416,469200,85.0,2,3.25,469200,20.15,25.89,5,5
662,2021,11924,590000,79.0,2,2.875,590000,40.59,49.92,4,4
675,2021,16136,544000,77.0,2,3.25,544000,19.0,25.67,4,5
691,2021,10416,343000,79.0,2,3.125,343000,18.29,21.25,4,5
695,2021,14742,335000,74.0,2,3.375,335000,13.61,27.65,4,3
699,2021,13036,360000,80.0,2,3.0,360000,17.42,26.4,5,5
703,2021,20718,450000,64.0,2,3.0,450000,13.38,24.75,4,4
706,2021,16184,482300,91.0,2,3.0,482300,21.33,32.89,4,4
710,2021,17084,344000,88.0,2,3.0,344000,14.83,21.66,3,2
711,2021,12412,425000,60.0,2,2.75,425000,22.29,33.51,5,5
712,2021,21432,436000,71.0,2,2.875,436000,13.93,26.77,2,2
715,2021,21442,510000,63.0,2,3.0,510000,13.32,26.86,5,5
718,2021,14583,532000,95.0,2,3.0,532000,21.03,21.74,5,5
721,2021,12916,500000,33.0,2,3.25,500000,24.41,37.02,5,5
743,2021,16927,478500,70.0,2,2.875,478500,14.52,17.04,5,5
761,2021,11671,355920,80.0,2,2.75,355920,6.84,44.63,4,5
764,2021,27183,241000,46.0,2,2.875,241000,15.89,29.51,5,5
785,2021,12673,504000,80.0,2,3.25,504000,21.45,26.1,4,4
794,2021,16308,335000,69.0,2,2.875,335000,11.83,27.9,5,4
803,2021,29017,488595,41.0,1,2.5,489000,13.77,17.69,5,9
818,2021,13124,340000,90.0,2,3.0,340000,15.64,23.52,5,5
828,2021,9292,494700,85.0,2,3.0,494700,10.77,43.2,4,5
838,2021,11513,363000,71.0,2,2.875,363000,19.29,35.57,5,5
843,2021,15739,450000,74.0,2,3.125,450000,15.95,30.1,5,5
852,2021,24386,412000,80.0,2,2.625,412000,15.05,15.32,5,5
867,2021,13875,429500,78.0,2,2.875,429500,18.7,30.93,5,4
869,2021,12774,390431,46.0,2,2.875,392089,16.13,34.42,4,4
880,2021,11141,646000,79.0,2,3.25,646000,31.3,41.17,5,5
891,2021,22226,386250,80.0,2,3.0,386250,20.88,39.64,5,4
895,2021,18134,509250,75.0,2,2.625,509250,15.13,33.21,5,5
902,2021,18750,355000,44.0,2,2.875,355000,11.82,19.59,4,5
904,2021,15616,373000,64.0,2,2.875,373000,15.44,19.73,4,5
911,2021,14007,376068,104.0,2,2.75,376068,13.8,22.29,4,4
919,2021,12333,405000,90.0,2,3.125,405000,21.08,30.6,3,4
928,2021,12862,450000,90.0,2,3.375,450000,24.7,32.44,5,5
929,2021,15991,400000,52.0,2,3.0,400000,24.14,28.33,5,4
934,2021,12634,399000,66.0,2,2.875,399000,22.37,25.86,5,4
935,2021,11666,380000,78.0,2,3.375,380000,22.08,26.02,3,3
955,2021,14229,465000,79.0,2,3.5,465000,18.47,47.19,2,2
960,2021,10666,355000,50.0,2,3.0,355000,19.12,23.24,5,5
961,2021,13250,347754,79.0,2,2.875,349000,16.45,41.89,4,4
963,2021,28688,548000,44.0,2,2.375,548000,18.01,44.76,5,5
970,2021,19848,349412,74.0,4,3.125,350000,11.21,27.68,5,5
972,2021,23751,548250,60.0,2,3.25,548250,17.84,30.7,5,5
978,2021,17728,548250,66.0,2,3.0,548250,20.69,33.09,4,4
981,2021,12216,446493,79.0,2,3.125,448000,20.68,26.53,4,5
994,2021,28172,371250,75.0,2,3.25,371250,18.74,27.54,4,4
996,2021,30042,370000,62.0,2,2.75,370000,12.15,25.3,5,5
997,2021,23082,484000,80.0,2,3.25,484000,11.92,23.46,5,5
1004,2021,13446,400000,77.0,2,3.125,400000,18.03,20.18,3,2
1016,2021,12253,335000,47.0,2,2.75,335000,19.32,24.7,5,5
1017,2021,9295,456000,80.0,2,2.875,456000,26.71,31.86,5,4
1019,2021,26440,476000,75.0,2,2.875,476000,12.47,13.18,5,5
1030,2021,14326,411750,75.0,2,3.0,411750,17.85,32.56,4,4
1044,2021,14305,437279,80.0,2,2.875,440000,18.0,22.0,5,5
1045,2021,18933,364000,80.0,2,3.25,364000,16.94,37.81,5,5
1052,2021,22916,420000,63.0,2,3.0,420000,9.66,18.55,5,5
1054,2021,21666,295000,56.0,2,2.75,295000,14.21,18.08,4,3
1067,2021,17152,430000,76.0,2,3.125,430000,14.57,24.34,3,4
1070,2021,15690,363000,77.0,2,2.875,363000,13.79,17.84,4,5
1079,2021,14373,369339,64.0,2,2.875,370000,17.78,28.96,5,5
1093,2021,12820,450000,95.0,2,3.125,450000,22.09,23.27,5,3
1097,2021,19284,522500,95.0,2,3.25,522500,18.75,35.94,3,3
1098,2021,24219,448000,80.0,2,2.875,448000,12.57,13.05,5,5
1105,2021,17698,425000,61.0,2,3.125,425000,13.99,41.55,4,3
1132,2021,21778,309000,73.0,2,3.125,309000,8.37,12.46,3,5
1135,2021,13421,520000,80.0,2,3.0,520000,22.77,24.18,3,3
1141,2021,11420,450000,72.0,2,3.125,450000,24.31,27.92,5,5
1143,2021,14875,400000,100.0,2,2.75,400000,13.49,22.95,5,5
1155,2021,16996,398000,71.0,2,3.125,398000,14.82,42.8,3,5
1157,2021,16665,520000,80.0,2,3.0,520000,16.12,43.06,5,5
1160,2021,21652,548000,51.0,2,3.25,548000,10.15,25.48,5,5
1162,2021,17774,310000,66.0,2,3.0,310000,10.84,31.84,4,3
1177,2021,16600,379375,80.0,2,3.25,380000,13.09,16.76,4,3
1182,2021,17655,537115,77.0,2,3.25,538000,18.16,24.25,5,5
1188,2021,17698,489418,90.0,2,3.375,491000,15.63,23.99,4,4
1191,2021,10333,459193,92.0,2,2.875,460000,24.64,34.28,4,5
1197,2021,13452,372745,77.0,2,2.875,374000,21.13,26.19,5,5
1223,2021,19487,348600,84.0,2,3.125,348600,11.11,32.11,3,4
1229,2021,16667,533349,80.0,2,3.25,536000,24.9,49.83,4,5
1244,2021,12921,413250,95.0,2,3.25,413250,19.66,39.31,5,5
1247,2021,12498,378000,63.0,2,3.5,378000,18.09,31.15,5,5
1250,2021,13054,435000,57.0,2,3.125,435000,21.73,33.14,4,4
1268,2021,15153,720000,75.0,2,3.0,720000,25.02,37.45,5,4
1269,2021,17190,465000,65.0,2,2.875,465000,14.18,14.57,5,5
1272,2021,11695,548250,90.0,2,3.125,548250,26.3,30.1,3,4
1278,2021,10028,520000,80.0,2,3.0,520000,28.0,32.96,4,2
1282,2021,19966,337947,73.0,2,2.75,350000,16.73,32.05,5,4
1283,2021,23467,336200,82.0,2,3.25,336200,8.53,8.74,5,5
1290,2021,25364,464000,80.0,2,2.5,464000,14.26,42.25,4,4
1304,2021,20369,548250,79.0,2,3.25,548250,17.02,32.22,5,4
1307,2021,13620,408500,49.0,2,3.0,408500,18.67,31.74,3,4
1315,2021,14249,548000,70.0,2,3.0,548000,21.68,28.53,5,5
1329,2021,12350,531050,78.0,2,2.875,531050,23.75,32.04,5,2
1332,2021,27067,315000,90.0,2,3.25,315000,14.4,32.41,4,5
1341,2021,20833,442400,80.0,2,3.125,442400,15.69,39.25,5,5
1342,2021,11416,468000,63.0,2,2.875,468000,26.23,33.13,2,3
1343,2021,19073,365000,65.0,2,2.875,365000,11.34,33.42,5,4
1344,2021,19061,367000,43.0,2,2.875,367000,12.26,40.39,4,5
1348,2021,10002,448000,80.0,2,3.0,448000,26.9,33.99,5,5
1354,2021,16249,650000,63.0,2,3.0,650000,22.54,23.0,5,5
1356,2021,20533,389000,49.0,2,3.5,389000,16.82,25.62,4,4
1361,2021,20672,320000,80.0,2,2.875,320000,12.25,15.63,5,5
1366,2021,18252,492000,74.0,2,2.875,492000,15.11,25.53,5,4
1370,2021,19294,350000,62.0,2,2.875,350000,11.23,20.54,5,5
1375,2021,17704,500000,71.0,2,3.25,500000,15.18,36.38,5,5
1379,2021,19759,544000,80.0,2,3.25,544000,15.22,33.93,5,5
1385,2021,14051,342000,75.0,2,3.125,342000,14.83,23.72,4,3
1401,2021,13235,494000,74.0,2,3.5,494000,22.92,39.41,5,3
1402,2021,10820,469244,59.0,2,3.375,470000,21.54,38.19,5,4
1408,2021,17664,399750,75.0,2,3.125,399750,17.12,23.89,5,9
1409,2021,13270,500000,80.0,2,2.75,500000,20.66,21.15,5,5
1414,2021,21337,346500,90.0,2,2.875,346500,15.06,36.89,4,4
1419,2021,19258,284050,95.0,2,3.125,284050,8.78,37.71,5,5
1433,2021,18249,455146,67.0,2,2.875,467000,17.58,29.47,3,4
1434,2021,15308,435000,69.0,2,2.875,435000,20.43,24.36,5,5
1440,2021,10417,490000,58.0,2,2.875,490000,25.77,44.54,4,4
1450,2021,10446,358000,80.0,2,2.875,358000,18.95,24.54,5,4
1452,2021,15347,526400,69.0,2,2.875,526400,20.14,21.41,5,5
1459,2021,13197,455500,95.0,2,3.25,455500,21.09,21.09,5,5
1461,2021,28243,495000,72.0,2,3.375,495000,11.96,15.18,5,5
1464,2021,12689,380000,48.0,2,3.0,380000,20.86,27.64,5,4
1468,2021,12774,413929,60.0,2,2.875,425000,23.4,42.73,2,3
1475,2021,22368,346000,80.0,2,3.125,346000,8.99,21.37,5,5
1487,2021,12850,375000,75.0,2,2.875,375000,20.8,35.26,4,4
1494,2021,10110,450000,38.0,2,2.875,450000,24.55,37.4,5,3
1508,2021,16056,402307,84.0,2,3.5,403000,17.7,24.98,2,2
1513,2021,16234,380400,62.0,2,2.875,380400,15.19,23.75,3,3
1522,2021,14667,360000,72.0,2,2.875,360000,14.733,15.367,5,5
1524,2021,16159,498750,95.0,2,3.125,498750,16.87,38.61,5,5
1526,2021,10666,378000,66.0,2,3.0,378000,20.89,23.54,5,5
1554,2021,12854,356400,54.0,2,3.25,356400,19.71,29.96,5,5
1557,2021,10092,515000,64.0,2,3.0,515000,31.34,42.51,4,4
1559,2021,13317,372000,83.0,2,3.25,372000,17.72,37.45,4,2
1560,2021,11177,485000,58.0,2,3.125,485000,23.77,43.62,5,4
1573,2021,12655,422100,90.0,2,3.625,422100,19.96,47.14,3,3
1578,2021,21408,514000,66.0,2,2.875,514000,14.44,21.14,5,3
1638,2021,13304,447500,80.0,2,2.75,447500,17.59,22.83,5,5
1652,2021,15180,345000,85.0,2,2.75,345000,15.0,22.57,5,5
1662,2021,15305,368000,80.0,2,2.875,368000,13.96,39.99,5,5
1667,2021,22630,426600,90.0,2,3.25,426600,12.49,24.8,5,5
1673,2021,17380,548250,85.0,2,2.625,548250,14.05,18.13,5,5
1700,2021,15786,400000,64.0,2,2.625,400000,18.1,19.14,5,5
1704,2021,23373,453000,73.0,2,2.75,453000,12.85,32.02,4,3
1709,2021,14489,413000,78.0,2,2.125,413000,26.03,39.48,5,4
1729,2021,23458,448000,78.0,2,2.25,448000,18.83,28.47,5,5
1736,2021,16840,547600,48.0,2,2.0,547600,24.83,26.43,5,5
1741,2021,20170,350000,40.0,2,2.25,350000,15.93,16.28,5,5
1758,2021,27126,332500,59.0,2,2.0,332500,7.32,18.58,5,5
1762,2021,11000,378000,90.0,2,2.375,378000,20.16,31.16,5,5
1794,2021,27718,325000,73.0,2,2.5,325000,7.18,9.04,5,5
1797,2021,13280,530000,73.0,2,2.625,530000,22.34,45.41,5,5
1817,2021,20000,352500,75.0,2,2.0,352500,12.79,30.93,5,5
1826,2021,18457,360000,66.0,2,2.125,360000,17.69,18.18,5,5
1833,2021,28267,577500,75.0,1,3.0,577500,10.97,19.84,4,9
1852,2021,17669,450000,68.0,2,2.875,450000,16.97,19.93,5,5
1854,2021,25694,398000,66.0,2,3.0,398000,10.14,16.55,5,5
1902,2021,9961,392000,80.0,2,2.625,392000,17.69,23.79,4,4
1934,2021,23017,520000,74.0,2,2.625,520000,14.88,15.28,4,5
1935,2021,29213,444000,62.0,1,2.375,444000,11.85,19.37,4,9
1947,2021,14282,352000,80.0,2,2.0,352000,20.07,25.04,5,5
1988,2021,19704,375647,60.0,2,2.125,375647,16.2,26.74,5,5
1990,2021,23210,548250,70.0,2,2.5,548250,17.19,39.19,5,5
1992,2021,15657,472700,60.0,2,2.375,472700,22.34,29.14,5,5
1996,2021,18290,464500,76.0,2,2.625,464500,18.66,47.89,5,4
2033,2021,22527,388000,80.0,2,2.625,388000,10.06,18.7,4,5
2044,2021,9500,368800,80.0,2,2.75,368800,21.68,23.5,5,5
2075,2021,24180,416000,72.0,2,2.75,416000,8.21,36.35,5,4
2105,2021,21002,517000,80.0,2,2.5,517000,13.03,13.84,5,5
2113,2021,12451,440000,80.0,2,2.875,440000,22.61,30.15,3,4
2119,2021,13840,386500,74.0,2,2.625,386500,17.24,26.0,4,5
2136,2021,12432,548000,65.0,2,2.25,548000,38.53,39.87,5,5
2137,2021,12932,423990,74.0,2,2.625,423990,26.42,41.18,5,5
2153,2021,14504,548250,94.0,2,2.625,548250,21.74,36.66,5,5
2160,2021,16693,448500,91.0,2,2.5,448500,17.42,29.56,5,4
2195,2021,14967,347643,95.0,2,2.625,347643,13.09,36.45,5,5
2202,2021,11039,417500,86.0,2,2.375,417500,22.91,40.81,4,4
2245,2021,15564,457000,90.0,2,3.25,457000,18.4,37.19,3,2
2257,2021,24554,368342,95.0,2,2.75,368342,15.17,43.84,5,5
2261,2021,11889,410000,64.0,2,2.875,410000,26.91,33.46,5,5
2264,2021,17646,426000,70.0,2,3.0,426000,15.79,19.95,5,4
2270,2021,21814,379000,56.0,2,2.125,379000,21.97,33.47,5,5
2315,2021,27787,466000,45.0,2,2.0,466000,17.33,46.87,5,5
2324,2021,12493,337600,80.0,2,2.875,337600,14.54,24.38,4,4
2353,2021,25000,488000,80.0,2,2.5,488000,7.72,14.31,5,5
2364,2021,12411,350000,77.0,2,2.875,350000,16.55,21.2,5,5
2414,2021,22076,350000,52.0,2,2.5,350000,15.46,19.18,5,4
2424,2021,10150,541600,80.0,2,3.125,541600,31.99,43.83,5,5
2456,2021,19217,349000,79.0,2,2.5,349000,13.82,30.45,3,3
2458,2021,27215,525000,79.0,2,3.0,525000,11.45,32.82,4,4
2469,2021,16666,324000,57.0,2,2.25,324000,16.79,36.21,5,5
2472,2021,20884,400000,75.0,2,2.5,400000,16.9,26.79,5,4
2497,2021,18418,533600,80.0,2,2.75,533600,19.9,32.76,4,4
2507,2021,16851,356250,95.0,2,2.75,356250,12.5,38.81,5,5
2528,2021,11336,375000,90.0,2,2.875,375000,21.7,35.8,4,4
2530,2021,14722,349500,70.0,2,2.75,349500,17.83,41.93,4,4
2536,2021,22293,600000,49.0,2,3.125,600000,19.34,27.39,4,4
2546,2021,10234,410000,79.0,2,2.5,410000,22.06,38.39,5,4
2564,2021,13665,445000,68.0,2,2.625,445000,17.72,32.17,5,5
2583,2021,13335,532000,78.0,2,2.75,532000,21.95,39.58,5,4
2592,2021,18941,376000,80.0,2,2.625,376000,12.93,33.95,5,5
2596,2021,11248,424000,80.0,2,2.875,424000,18.72,21.34,5,5
2603,2021,20471,256000,45.0,2,2.875,256000,16.76,33.45,4,5
2608,2021,10988,435000,79.0,2,2.625,435000,21.9,27.14,5,5
2627,2021,17692,332800,72.0,2,2.875,332800,17.11,22.93,4,2
2629,2021,13974,355000,65.0,2,2.875,355000,16.88,20.87,4,5
2634,2021,26500,760000,19.0,2,2.75,760000,21.16,41.63,5,5
2642,2021,16116,466097,70.0,2,2.99,466900,14.47,14.47,3,3
2657,2021,25483,315000,49.0,2,2.5,315000,11.74,13.95,5,5
2663,2021,12852,386000,71.0,2,3.0,386000,17.88,24.56,5,5
2687,2021,22810,347200,100.0,2,2.75,347200,8.84,13.07,5,4
2729,2021,11824,490000,70.0,2,2.75,490000,21.35,27.56,5,5
2780,2021,14873,450000,80.0,2,2.375,450000,19.29,36.8,5,5
2808,2021,26219,548000,78.0,2,2.25,548000,15.7,31.91,5,5
2827,2021,16605,344500,77.0,2,2.125,344500,17.37,30.83,5,5
2853,2021,11500,355000,67.0,2,2.625,355000,17.6,21.52,5,5
2867,2021,20417,317081,78.0,2,2.875,317081,9.36,30.87,5,4
2885,2021,9692,479300,79.0,2,2.75,479300,26.43,27.31,5,5
2894,2021,20289,305000,79.0,2,3.0,305000,17.33,27.98,5,5
2911,2021,24375,620000,70.0,2,2.99,620000,16.4,36.05,5,5
2915,2021,19330,288800,67.0,2,2.375,288800,16.24,35.01,5,5
2951,2021,12014,418000,79.0,2,1.875,418000,27.31,32.85,5,5
2954,2021,11594,346500,69.0,2,2.75,346500,18.21,25.62,5,5
2969,2021,13283,422918,79.0,2,2.375,422918,21.51,39.47,5,5
2979,2021,14989,399000,95.0,2,2.625,399000,18.41,34.58,5,5
3029,2021,15676,530000,79.0,2,2.875,530000,21.71,29.76,4,5
3037,2021,20584,465750,90.0,2,2.875,465750,14.52,45.99,4,5
3053,2021,23928,548250,69.0,2,3.125,548250,17.48,30.22,4,4
3078,2021,23333,424000,80.0,2,2.75,424000,12.45,26.99,4,3
3089,2021,25538,457600,80.0,2,2.375,457600,10.51,20.81,4,5
3090,2021,10801,414333,91.0,2,2.875,414333,22.64,34.83,5,5
3098,2021,21245,504000,76.0,2,2.5,504000,17.34,24.32,5,5
3140,2021,9860,440000,76.0,3,2.75,440000,25.37,29.96,5,5
3155,2021,30122,456000,42.0,1,2.25,456000,2.93,33.24,4,9
3161,2021,12671,600000,56.0,2,2.875,600000,23.64,34.23,5,5
3162,2021,11143,548250,73.0,2,3.25,548250,37.72,42.44,3,3
3163,2021,30049,360335,49.0,2,2.375,360335,11.55,12.49,5,5
3164,2021,16912,440000,80.0,2,2.5,440000,21.84,36.12,3,3
3173,2021,23273,335000,53.0,2,2.0,335000,13.3,14.19,5,5
3182,2021,28991,548250,50.0,2,2.75,548250,19.71,29.53,4,5
3206,2021,21209,693000,70.0,2,2.875,693000,20.13,35.66,4,4
3226,2021,20213,693000,90.0,2,3.25,693000,21.06,22.67,5,5
3228,2021,17017,590400,80.0,2,2.75,590400,21.34,26.79,5,5
3229,2021,18322,445000,69.0,2,2.875,445000,12.18,17.19,5,5
3238,2021,8500,548250,84.0,2,2.875,548250,40.19,42.93,4,4
3274,2021,13912,388000,80.0,2,2.375,388000,17.79,36.11,4,4
3321,2021,27666,543000,66.0,2,2.625,543000,11.09,13.79,5,5
3337,2021,21260,340000,67.0,2,2.75,340000,11.04,19.17,5,5
3342,2021,11741,364931,78.0,2,2.5,364931,18.52,29.33,5,5
3369,2021,12751,367279,75.0,2,2.625,367279,22.55,24.25,5,4
3395,2021,12356,363500,77.0,2,2.5,363500,19.88,33.03,5,5
3418,2021,17140,328800,68.0,2,3.125,328800,19.48,23.45,5,5
3419,2021,28516,548250,63.0,2,2.25,548250,17.2,20.72,5,5
3440,2021,12278,400000,77.0,2,2.5,400000,22.04,38.91,5,5
3446,2021,24537,380100,76.0,2,2.5,380100,8.97,25.07,5,5
3448,2021,14632,540000,80.0,2,2.125,540000,30.68,40.37,5,5
3454,2021,18589,354230,61.0,2,2.75,354230,11.34,29.7,5,5
3472,2021,20110,400000,79.0,2,2.875,400000,13.93,30.64,4,4
3487,2021,16983,346000,67.0,2,2.375,346000,17.42,17.82,5,5
3526,2021,16352,606300,78.0,2,3.375,606300,20.51,28.97,4,4
3560,2021,14789,548250,66.0,2,3.25,548250,26.18,27.11,5,5
3563,2021,11101,415000,70.0,2,2.5,415000,22.7,23.6,4,5
3590,2021,12352,438200,80.0,2,3.0,438200,18.18,29.88,4,4
3604,2021,17138,548200,74.0,2,2.625,548200,19.22,23.49,4,3
3616,2021,15000,544000,80.0,2,2.625,544000,21.35,25.54,4,5
3633,2021,14749,440000,73.0,2,2.625,440000,16.46,47.52,5,5
3655,2021,18713,463000,78.0,2,2.75,463000,20.04,35.38,5,5
3656,2021,14285,535000,75.0,2,3.25,535000,21.78,46.35,4,4
3682,2021,19951,317450,70.0,2,2.5,317450,14.2,33.28,5,5
3711,2021,27681,344000,66.0,2,2.625,344000,8.32,14.02,5,5
3714,2021,20000,306400,80.0,2,2.875,306400,9.85,25.42,5,5
3723,2021,15516,400000,63.0,2,2.875,400000,15.78,20.35,5,5
3727,2021,11897,395250,85.0,2,2.625,395250,20.05,35.07,5,5
3739,2021,16582,348000,73.0,2,2.75,348000,14.68,28.53,4,5
